day,max_temp,min_temp,avg_temp,max_wind,min_wind,avg_wind,max_percipitation,min_percipitation,avg_percipitation,sum_snow,day_hours,sunnyness,price_surge,max_price
2024-02-20,-0.625,-6.725,-3.499999970833334,8.942214,0.35999998,5.333866810416666,1.2,0.0,0.225,3.71000003,12.0,0.6836145023148149,0.0,
2024-02-21,2.075,-3.625,-0.8687500275,16.58346,1.8,9.085771991666666,0.2,0.0,0.02916666666666667,0.49000000000000005,12.0,0.5143489259259258,0.0,
2024-02-22,-0.625,-3.125,-2.0791666875,24.766848,5.154415,19.606432833333333,5.1,0.0,1.1875,19.87999993,12.0,0.0,0.0,
2024-02-23,-2.9750001,-10.175,-6.3229165541666665,12.429127,1.4399999,7.198516904166667,1.6,0.0,0.13749999999999998,2.30999999,12.0,0.7960811643518518,0.0,
2024-02-24,-3.7250001,-12.625,-8.856249820833334,13.479583,3.7064266,9.737209841666667,0.9,0.0,0.06666666666666667,1.12,12.0,0.811542975,0.0,
2024-02-25,-4.725,-12.525,-8.572916395833333,23.904108,11.212135,16.606235645833333,0.3,0.0,0.020833333333333332,0.35000001,12.0,0.7650803715277777,0.0,
2024-02-26,-2.575,-8.675,-5.547916537500001,24.985659,8.209263,16.959709395833332,0.7,0.0,0.19583333333333333,3.3599999900000004,12.0,0.1735946526851852,0.0,
2024-02-27,0.8249999,-6.475,-3.508333310833333,10.799999,4.0249224,8.088238270833331,0.3,0.0,0.10416666666666667,1.75000001,12.0,0.34617511342592594,0.0,
2024-02-28,3.375,-6.375,-2.02916666875,11.119281,1.1384199,6.968650445833333,0.0,0.0,0.0,0.0,12.0,0.7847677106481482,0.0,
2024-02-29,1.925,-10.675,-4.239583336833333,15.484185,8.404285,11.643674624999997,0.0,0.0,0.0,0.0,12.0,0.8398695925925925,0.0,
2024-03-01,-0.275,-5.1749997,-2.47083333875,11.435313,0.35999998,5.357428303333333,1.5,0.0,0.4375,7.35000001,12.0,0.0,0.0,
2024-03-02,0.37499997,-11.325,-4.522916628333333,21.479664,8.225035,15.102126833333335,0.0,0.0,0.0,0.0,12.0,0.7315494164351853,0.0,
2024-03-03,0.12499997,-7.475,-3.1104166427499997,21.817902,0.5091169,13.146038679166665,0.1,0.0,0.041666666666666664,0.7000000000000001,12.0,0.7323240560185186,0.0,
2024-03-04,0.625,-9.525,-3.347916665,6.849467,1.1384199,4.024458808333333,0.1,0.0,0.016666666666666666,0.28,12.0,0.4010841481481482,0.0197232345119669,73.0
2024-03-05,-1.625,-6.825,-3.6312499541666665,11.090103,2.0364676,6.813464691666667,2.4,0.0,0.5708333333333333,9.520000060000001,12.0,0.31804986736111107,0.0010800787878151776,73.0
2024-03-06,-4.325,-6.375,-5.608333229166667,9.339208,4.0249224,6.808203725000001,1.5,0.0,0.5875,9.869999980000001,12.0,0.0,-0.0008476971981709456,73.0
2024-03-07,0.625,-12.974999,-4.862499862416667,10.948973,2.1897945,5.196446025,0.0,0.0,0.0,0.0,12.0,0.873538111111111,0.002327247191766918,78.0
2024-03-08,-1.275,-12.974999,-6.5229165375,23.1774,11.480557,17.335071958333334,0.0,0.0,0.0,0.0,12.0,0.7964396944444444,0.0002620495624308635,75.0
2024-03-09,-0.82500005,-12.575,-5.641666618749999,36.658184,17.072504,24.383390125000002,0.0,0.0,0.0,0.0,12.0,0.5516533564814815,0.002880472308907007,80.0
2024-03-10,-1.125,-11.625,-3.9854166541666665,36.0,2.6208394,15.267657733333332,2.7,0.0,0.6583333333333333,11.059999949999998,12.0,0.017311328703703704,0.0009588120908476968,77.0
2024-03-11,-1.125,-17.275002,-6.670833329166666,10.464797,1.484318,5.309242233333333,0.2,0.0,0.016666666666666666,0.28,12.0,0.6429243828703703,-0.0015765857733335531,70.0
2024-03-12,-0.625,-13.474999,-4.8999999375,9.504273,0.8049845,4.709102329166666,1.1,0.0,0.1791666666666667,2.7999999800000004,12.0,0.08333333333333333,-0.0021495318512954665,70.0
2024-03-13,3.175,-3.425,-0.20000001775,8.427383,1.8,4.206422391666667,1.3,0.0,0.3333333333333333,5.39000008,12.0,0.25304148981481484,-0.0020686646007119836,70.0
2024-03-14,4.625,-0.975,2.027083301666667,7.5942082,1.2979984,6.146694087499999,0.0,0.0,0.0,0.0,12.0,0.8983806944444445,-0.0015994025781148325,75.0
2024-03-15,2.7749999,-2.075,0.7895833104166666,11.525623,1.609969,6.957281170833333,0.7,0.0,0.09583333333333333,1.05000003,12.0,0.7986310162037036,-0.0011339113108573386,74.0
2024-03-16,2.075,-6.975,-0.918750005,10.883676,2.0364676,5.9012971125,1.5,0.0,0.2125,3.5700000000000003,12.0,0.5919910664351852,-0.0002278291807003731,78.0
2024-03-17,1.675,-8.974999,-1.4416666095833335,10.390226,1.1384199,5.878611029166667,0.4,0.0,0.07916666666666666,1.05000001,12.0,0.0,0.0006287439128409122,78.0
2024-03-18,0.92499995,-2.9750001,0.10833330841666668,13.441071,3.0547013,7.845118233333333,2.2,0.0,0.7208333333333333,10.07999988,12.0,0.0,0.0003249851074436356,70.0
2024-03-19,4.875,-7.225,0.39166667816666667,7.9036193,1.1384199,3.7564372916666664,0.0,0.0,0.0,0.0,12.0,0.7987546055555556,-5.34878708140902e-05,72.0
2024-03-20,7.275,-0.52500004,3.200000041833333,9.178235,1.08,4.840790591666667,0.0,0.0,0.0,0.0,12.0,0.9147613888888888,-0.00032529160219330104,71.0
2024-03-21,3.075,-0.57500005,2.2187499729166666,9.885262,3.2399998,5.894707379166667,2.2,0.0,0.2166666666666667,2.0300000000000002,12.0,0.41784272194444444,-0.0005369584295473256,70.0
2024-03-22,5.525,-1.875,2.10000000125,7.928178,1.1384199,4.429711508333333,0.0,0.0,0.0,0.0,12.0,0.9166666666666666,-0.0006205410510699304,70.0
2024-03-23,1.375,-6.5249996,-2.7770833025,18.175545,4.896529,12.0872786375,1.4,0.0,0.3125,5.039999959999999,12.0,0.39553374074074077,-0.00033056625759173843,73.0
2024-03-24,-4.875,-11.175,-6.597916545833333,16.23596,1.2979984,9.287511120833333,1.9,0.0,0.325,5.38999989,12.0,0.3333333333333333,4.541525254747091e-05,73.0
2024-03-25,-0.12500001,-16.775002,-6.845833498749999,24.703974,3.096837,13.368880616666667,0.0,0.0,0.0,0.0,12.0,0.8552156651388889,0.0002037150192263036,73.0
2024-03-26,-0.47500002,-8.125,-3.86458333625,24.72495,19.513195,23.250173625000002,0.1,0.0,0.008333333333333333,0.14,12.0,0.9166666666666666,3.515711087477856e-05,70.0
2024-03-27,-1.475,-11.224999,-4.3416665750000005,21.67487,2.6208394,11.930191854166665,1.7,0.0,0.6208333333333333,10.570000010000001,12.0,0.0,-8.872985645410173e-05,69.0
2024-03-28,-0.875,-12.974999,-6.810416533333334,23.675303,5.6002855,16.297501770833332,3.1,0.0,0.375,6.29999971,12.0,0.5,-0.0001844303725908935,69.0
2024-03-29,2.475,-10.474999,-2.26458327225,32.750107,23.617756,27.073221083333333,0.0,0.0,0.0,0.0,12.0,0.7401088425925926,-5.8494158543560644e-05,72.0
2024-03-30,1.925,-2.075,-0.31666668750000004,34.802895,12.979984,22.757516666666664,4.9,0.0,0.9625,16.099999699999998,12.0,0.7012801875,1.1130213788248e-05,69.0
